UsageKey,BuildingName,RoomName,RoomNameShort1,RoomNameShort2,RoomNameShort3
E-17,学校等,便所,nan,nan,nan
E-18,学校等,喫煙室,nan,nan,nan
E-19,学校等,厨房,nan,nan,nan
E-20,学校等,屋内駐車場,nan,nan,nan
E-21,学校等,機械室,nan,nan,nan
E-22,学校等,電気室,nan,nan,nan
E-23,学校等,湯沸室等,nan,nan,nan
E-24,学校等,食品庫等,nan,nan,nan
E-25,学校等,印刷室等,nan,nan,nan
E-26,学校等,廃棄物保管場所等,ゴミ置場等,nan,nan
R-1,飲食店等,レストランの客室,レストラン客室,nan,nan
R-2,飲食店等,軽食店の客室,軽食店客室,nan,nan
R-3,飲食店等,喫茶店の客室,喫茶店客室,nan,nan
R-4,飲食店等,バー,nan,nan,nan
R-5,飲食店等,フロント,nan,nan,nan
R-6,飲食店等,事務室,nan,nan,nan
R-7,飲食店等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
R-8,飲食店等,廊下,nan,nan,nan
R-9,飲食店等,ロビー,nan,nan,nan
R-10,飲食店等,便所,nan,nan,nan
R-11,飲食店等,喫煙室,nan,nan,nan
R-12,飲食店等,厨房,nan,nan,nan
R-13,飲食店等,屋内駐車場,nan,nan,nan
R-14,飲食店等,機械室,nan,nan,nan
R-15,飲食店等,電気室,nan,nan,nan
R-16,飲食店等,湯沸室等,nan,nan,nan
R-17,飲食店等,食品庫等,nan,nan,nan
R-18,飲食店等,印刷室等,nan,nan,nan
R-19,飲食店等,廃棄物保管場所等,ゴミ置場等,nan,nan
M-1,集会所等,アスレチック場の運動室,アスレチック場運動室,nan,nan
M-2,集会所等,アスレチック場のロビー,アスレチック場ロビー,nan,nan
M-3,集会所等,アスレチック場の便所,アスレチック場便所,nan,nan
M-4,集会所等,アスレチック場の喫煙室,アスレチック場喫煙室,nan,nan
M-5,集会所等,公式競技用スケート場,スケート場(公式),nan,nan
M-6,集会所等,公式競技用体育館,体育館(公式),nan,nan
M-7,集会所等,一般競技用スケート場,スケート場(一般),nan,nan
M-8,集会所等,一般競技用体育館,体育館(一般),nan,nan
M-9,集会所等,レクリエーション用スケート場,スケート場(レク),nan,nan
M-10,集会所等,レクリエーション用体育館,体育館(レク),nan,nan
M-11,集会所等,競技場の客席,競技場応援席,nan,nan
M-12,集会所等,競技場のロビー,競技場ロビー,nan,nan
M-13,集会所等,競技場の便所,競技場便所,nan,nan
M-14,集会所等,競技場の喫煙室,競技場喫煙室,nan,nan
M-15,集会所等,公衆浴場の浴室,公衆浴場浴室,浴場施設の浴室,浴場施設浴室
M-16,集会所等,公衆浴場の脱衣所,公衆浴場脱衣室,浴場施設の脱衣所,浴場施設脱衣室
M-17,集会所等,公衆浴場の休憩室,公衆浴場休憩室,浴場施設の休憩室,浴場施設休憩室
M-18,集会所等,公衆浴場のロビー,公衆浴場ロビー,浴場施設のロビー,浴場施設ロビー
M-19,集会所等,公衆浴場の便所,公衆浴場便所,浴場施設の便所,浴場施設便所
M-20,集会所等,公衆浴場の喫煙室,公衆浴場喫煙室,浴場施設の喫煙室,浴場施設喫煙室
M-21,集会所等,映画館の客席,映画館観客席,nan,nan
M-22,集会所等,映画館のロビー,映画館ロビー,nan,nan
M-23,集会所等,映画館の便所,映画館便所,nan,nan
M-24,集会所等,映画館の喫煙室,映画館喫煙室,nan,nan
M-25,集会所等,図書館の図書室,図書館図書室,nan,nan
M-26,集会所等,図書館のロビー,図書館ロビー,nan,nan
M-27,集会所等,図書館の便所,図書館便所,nan,nan
M-28,集会所等,図書館の喫煙室,図書館喫煙室,nan,nan
M-29,集会所等,博物館の展示室,博物館展示室,nan,nan
M-30,集会所等,博物館のロビー,博物館ロビー,nan,nan
M-31,集会所等,博物館の便所,博物館便所,nan,nan
M-32,集会所等,博物館の喫煙室,博物館喫煙室,nan,nan
M-33,集会所等,劇場の楽屋,劇場楽屋,nan,nan
M-34,集会所等,劇場の舞台,劇場舞台,nan,nan
M-35,集会所等,劇場の客席,劇場観客席,nan,nan
M-36,集会所等,劇場のロビー,劇場ロビー,nan,nan
M-37,集会所等,劇場の便所,劇場便所,nan,nan
M-38,集会所等,劇場の喫煙室,劇場喫煙室,nan,nan
M-39,集会所等,カラオケボックス,nan,nan,nan
M-41,集会所等,ボーリング場,nan,nan,nan
M-42,集会所等,ぱちんこ屋,パチンコ屋,nan,nan
M-43,集会所等,競馬場又は競輪場の客席,競馬競輪場観客席,競馬場の客席,競輪場の客席
M-44,集会所等,競馬場又は競輪場の券売場,競馬競輪場券売場,競馬場の券売場,競輪場の券売場
M-45,集会所等,競馬場又は競輪場の店舗,競馬競輪場店舗,競馬場の店舗,競輪場の店舗
M-46,集会所等,競馬場又は競輪場のロビー,競馬競輪場ロビー,競馬場のロビー,競輪場のロビー
M-47,集会所等,競馬場又は競輪場の便所,競馬競輪場便所,競馬場の便所,競輪場の便所
M-48,集会所等,競馬場又は競輪場の喫煙室,競馬競輪場喫煙室,競馬場の喫煙室,競輪場の喫煙室
M-49,集会所等,社寺の本殿,社寺本殿,nan,nan
M-50,集会所等,社寺のロビー,社寺ロビー,nan,nan
M-51,集会所等,社寺の便所,社寺便所,nan,nan
M-52,集会所等,社寺の喫煙室,社寺喫煙室,nan,nan
M-53,集会所等,厨房,nan,nan,nan
M-54,集会所等,屋内駐車場,nan,nan,nan
M-55,集会所等,機械室,nan,nan,nan
M-56,集会所等,電気室,nan,nan,nan
M-57,集会所等,湯沸室等,nan,nan,nan
M-58,集会所等,食品庫等,nan,nan,nan
M-59,集会所等,印刷室等,nan,nan,nan
M-60,集会所等,廃棄物保管場所等,ゴミ置場等,nan,nan
F-1,工場等,倉庫,nan,nan,nan
F-2,工場等,屋外駐車場又は駐輪場,屋外駐車駐輪場,屋外駐車場,駐輪場
A-1,共同住宅,屋内廊下,nan,nan,nan
A-2,共同住宅,ロビー,nan,nan,nan
A-3,共同住宅,管理人室,nan,nan,nan
A-4,共同住宅,集会室,nan,nan,nan
A-5,共同住宅,屋外廊下,nan,nan,nan
A-6,共同住宅,屋内駐車場,nan,nan,nan
A-7,共同住宅,機械室,nan,nan,nan
A-8,共同住宅,電気室,nan,nan,nan
A-9,共同住宅,廃棄物保管場所等,ゴミ置場等,nan,nan
データ終端,データ終端,データ終端,データ終端,データ終端,データ終端
