検索キー特定用識別子,検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,室用途名略称１,室用途名略称２,室用途名略称３
病院等日中のみ利用されるロビー,D-18,Hospital,Lobby_Daytime,病院等,日中のみ利用されるロビー,ロビー(日中),,
病院等日中のみ利用される共用部の便所,D-19,Hospital,Toilet_Daytime,病院等,日中のみ利用される共用部の便所,便所(日中),,
病院等日中のみ利用される喫煙室,D-20,Hospital,SmokingRoom_Daytime,病院等,日中のみ利用される喫煙室,喫煙室(日中),,
病院等厨房,D-21,Hospital,Kitchen,病院等,厨房,,,
病院等屋内駐車場,D-22,Hospital,IndoorParking,病院等,屋内駐車場,,,
病院等機械室,D-23,Hospital,MechanicalRoom,病院等,機械室,,,
病院等電気室,D-24,Hospital,ElectricalRoom,病院等,電気室,,,
病院等湯沸室等,D-25,Hospital,Kitchenette,病院等,湯沸室等,,,
病院等食品庫等,D-26,Hospital,StorageRoom,病院等,食品庫等,,,
病院等印刷室等,D-27,Hospital,CopyRoom,病院等,印刷室等,,,
病院等廃棄物保管場所等,D-28,Hospital,GarbageStorage,病院等,廃棄物保管場所等,ゴミ置場等,,
物品販売業を営む店舗等大型店の売場,S-1,Store,LargeScaleRetailStore,物品販売業を営む店舗等,大型店の売場,大型店売場,,
物品販売業を営む店舗等専門店の売場,S-2,Store,SpecializedStore,物品販売業を営む店舗等,専門店の売場,専門店売場,,
物品販売業を営む店舗等スーパーマーケットの売場,S-3,Store,Supermarket,物品販売業を営む店舗等,スーパーマーケットの売場,スーパー売場,,
物品販売業を営む店舗等荷さばき場,S-4,Store,Backyard,物品販売業を営む店舗等,荷さばき場,,,
物品販売業を営む店舗等事務室,S-5,Store,OfficeRoom,物品販売業を営む店舗等,事務室,,,
物品販売業を営む店舗等更衣室又は倉庫,S-6,Store,LockerRoom,物品販売業を営む店舗等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
物品販売業を営む店舗等ロビー,S-7,Store,Lobby,物品販売業を営む店舗等,ロビー,,,
物品販売業を営む店舗等便所,S-8,Store,Toilet,物品販売業を営む店舗等,便所,,,
物品販売業を営む店舗等喫煙室,S-9,Store,SmokingRoom,物品販売業を営む店舗等,喫煙室,,,
物品販売業を営む店舗等厨房,S-10,Store,Kitchen,物品販売業を営む店舗等,厨房,,,
物品販売業を営む店舗等屋内駐車場,S-11,Store,IndoorParking,物品販売業を営む店舗等,屋内駐車場,,,
物品販売業を営む店舗等機械室,S-12,Store,MechanicalRoom,物品販売業を営む店舗等,機械室,,,
物品販売業を営む店舗等電気室,S-13,Store,ElectricalRoom,物品販売業を営む店舗等,電気室,,,
物品販売業を営む店舗等湯沸室等,S-14,Store,Kitchenette,物品販売業を営む店舗等,湯沸室等,,,
物品販売業を営む店舗等食品庫等,S-15,Store,StorageRoom,物品販売業を営む店舗等,食品庫等,,,
物品販売業を営む店舗等印刷室等,S-16,Store,CopyRoom,物品販売業を営む店舗等,印刷室等,,,
物品販売業を営む店舗等廃棄物保管場所等,S-17,Store,GarbageStorage,物品販売業を営む店舗等,廃棄物保管場所等,ゴミ置場等,,
学校等小中学校の教室,E-1,School,ClassroomInPrimarySchool,学校等,小中学校の教室,小中学校教室,,
学校等高等学校の教室,E-2,School,ClassroomInHighSchool,学校等,高等学校の教室,高校教室,,
学校等職員室,E-3,School,StaffRoom,学校等,職員室,,,
学校等小中学校又は高等学校の食堂,E-4,School,SchoolCanteen,学校等,小中学校又は高等学校の食堂,小中高校食堂,小中学校の食堂,高等学校の食堂
学校等大学の教室,E-5,School,ClassroomInCollege,学校等,大学の教室,大学教室,,
学校等大学の食堂,E-6,School,CollegeCanteen,学校等,大学の食堂,大学食堂,,
学校等事務室,E-7,School,OfficeRoom,学校等,事務室,,,
学校等研究室,E-8,School,ResearchRoom,学校等,研究室,,,
学校等電子計算機器演習室,E-9,School,ComputerRoom,学校等,電子計算機器演習室,コンピュータ室,,
学校等実験室,E-10,School,Laboratory,学校等,実験室,,,
学校等実習室,E-11,School,PracticalRoom,学校等,実習室,,,
学校等講堂又は体育館,E-12,School,Hall,学校等,講堂又は体育館,講堂・体育館,講堂,体育館
学校等宿直室,E-13,School,NightDutyRoom,学校等,宿直室,,,
学校等更衣室又は倉庫,E-14,School,LockerRoom,学校等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
学校等廊下,E-15,School,Corridor,学校等,廊下,,,
学校等ロビー,E-16,School,Lobby,学校等,ロビー,,,
学校等便所,E-17,School,Toilet,学校等,便所,,,
学校等喫煙室,E-18,School,SmokingRoom,学校等,喫煙室,,,
学校等厨房,E-19,School,Kitchen,学校等,厨房,,,
学校等屋内駐車場,E-20,School,IndoorParking,学校等,屋内駐車場,,,
学校等機械室,E-21,School,MechanicalRoom,学校等,機械室,,,
学校等電気室,E-22,School,ElectricalRoom,学校等,電気室,,,
学校等湯沸室等,E-23,School,Kitchenette,学校等,湯沸室等,,,
学校等食品庫等,E-24,School,StorageRoom,学校等,食品庫等,,,
学校等印刷室等,E-25,School,CopyRoom,学校等,印刷室等,,,
学校等廃棄物保管場所等,E-26,School,GarbageStorage,学校等,廃棄物保管場所等,ゴミ置場等,,
飲食店等レストランの客室,R-1,Restaurant,Restaurant,飲食店等,レストランの客室,レストラン客室,,
飲食店等軽食店の客室,R-2,Restaurant,LightRestaurant,飲食店等,軽食店の客室,軽食店客室,,
飲食店等喫茶店の客室,R-3,Restaurant,CoffeeShop,飲食店等,喫茶店の客室,喫茶店客室,,
飲食店等バー,R-4,Restaurant,Bar,飲食店等,バー,,,
飲食店等フロント,R-5,Restaurant,FrontDesk,飲食店等,フロント,,,
飲食店等事務室,R-6,Restaurant,OfficeRoom,飲食店等,事務室,,,
飲食店等更衣室又は倉庫,R-7,Restaurant,LockerRoom,飲食店等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
飲食店等廊下,R-8,Restaurant,Corridor,飲食店等,廊下,,,
飲食店等ロビー,R-9,Restaurant,Lobby,飲食店等,ロビー,,,
飲食店等便所,R-10,Restaurant,Toilet,飲食店等,便所,,,
飲食店等喫煙室,R-11,Restaurant,SmokingRoom,飲食店等,喫煙室,,,
飲食店等厨房,R-12,Restaurant,Kitchen,飲食店等,厨房,,,
飲食店等屋内駐車場,R-13,Restaurant,IndoorParking,飲食店等,屋内駐車場,,,
飲食店等機械室,R-14,Restaurant,MechanicalRoom,飲食店等,機械室,,,
飲食店等電気室,R-15,Restaurant,ElectricalRoom,飲食店等,電気室,,,
飲食店等湯沸室等,R-16,Restaurant,Kitchenette,飲食店等,湯沸室等,,,
飲食店等食品庫等,R-17,Restaurant,StorageRoom,飲食店等,食品庫等,,,
飲食店等印刷室等,R-18,Restaurant,CopyRoom,飲食店等,印刷室等,,,
飲食店等廃棄物保管場所等,R-19,Restaurant,GarbageStorage,飲食店等,廃棄物保管場所等,ゴミ置場等,,
集会所等アスレチック場の運動室,M-1,MeetingPlace,GymnasiumInAthletic,集会所等,アスレチック場の運動室,アスレチック場運動室,,
集会所等アスレチック場のロビー,M-2,MeetingPlace,LobbyInAthletic,集会所等,アスレチック場のロビー,アスレチック場ロビー,,
集会所等アスレチック場の便所,M-3,MeetingPlace,ToiletInAthletic,集会所等,アスレチック場の便所,アスレチック場便所,,
集会所等アスレチック場の喫煙室,M-4,MeetingPlace,SmokingRoomInAthletic,集会所等,アスレチック場の喫煙室,アスレチック場喫煙室,,
集会所等公式競技用スケート場,M-5,MeetingPlace,SkatingRinkForOfficialCompetition,集会所等,公式競技用スケート場,スケート場(公式),,
集会所等公式競技用体育館,M-6,MeetingPlace,ArenaForOfficialCompetition,集会所等,公式競技用体育館,体育館(公式),,
集会所等一般競技用スケート場,M-7,MeetingPlace,SkatingRinkForGeneralGame,集会所等,一般競技用スケート場,スケート場(一般),,
集会所等一般競技用体育館,M-8,MeetingPlace,ArenaForGeneralGame,集会所等,一般競技用体育館,体育館(一般),,
集会所等レクリエーション用スケート場,M-9,MeetingPlace,SkatingRinkForRecreation,集会所等,レクリエーション用スケート場,スケート場(レク),,
集会所等レクリエーション用体育館,M-10,MeetingPlace,ArenaForRecreation,集会所等,レクリエーション用体育館,体育館(レク),,
集会所等競技場の客席,M-11,MeetingPlace,CheeringSectionInStadium,集会所等,競技場の客席,競技場応援席,,
集会所等競技場のロビー,M-12,MeetingPlace,LobbyInStadium,集会所等,競技場のロビー,競技場ロビー,,
集会所等競技場の便所,M-13,MeetingPlace,ToiletInStadium,集会所等,競技場の便所,競技場便所,,
集会所等競技場の喫煙室,M-14,MeetingPlace,SmokingRoomInStadium,集会所等,競技場の喫煙室,競技場喫煙室,,
集会所等公衆浴場の浴室,M-15,MeetingPlace,BathroomInBathingFacility,集会所等,公衆浴場の浴室,公衆浴場浴室,浴場施設の浴室,浴場施設浴室
