キー,建物用途名称,室用途名称,床面積あたりの基準一次エネルギー消費量
M-25,集会所等,図書館の図書室,488
M-26,集会所等,図書館のロビー,360
M-27,集会所等,図書館の便所,360
M-28,集会所等,図書館の喫煙室,198
M-29,集会所等,博物館の展示室,261
M-30,集会所等,博物館のロビー,288
M-31,集会所等,博物館の便所,288
M-32,集会所等,博物館の喫煙室,158
M-33,集会所等,劇場の楽屋,299
M-34,集会所等,劇場の舞台,441
M-35,集会所等,劇場の客席,265
M-36,集会所等,劇場のロビー,265
M-37,集会所等,劇場の便所,265
M-38,集会所等,劇場の喫煙室,146
M-39,集会所等,カラオケボックス,1368
M-41,集会所等,ボーリング場,798
M-42,集会所等,ぱちんこ屋,1019
M-43,集会所等,競馬場又は競輪場の客席,298
M-44,集会所等,競馬場又は競輪場の券売場,298
M-45,集会所等,競馬場又は競輪場の店舗,298
M-46,集会所等,競馬場又は競輪場のロビー,325
M-47,集会所等,競馬場又は競輪場の便所,325
M-48,集会所等,競馬場又は競輪場の喫煙室,179
M-49,集会所等,社寺の本殿,198
M-50,集会所等,社寺のロビー,294
M-51,集会所等,社寺の便所,294
M-52,集会所等,社寺の喫煙室,162
M-53,集会所等,厨房,644
M-54,集会所等,屋内駐車場,141
M-55,集会所等,機械室,19
M-56,集会所等,電気室,19
M-57,集会所等,湯沸室等,129
M-58,集会所等,食品庫等,141
M-59,集会所等,印刷室等,213
M-60,集会所等,廃棄物保管場所等,70
F-1,工場等,倉庫,211
F-2,工場等,屋外駐車場又は駐輪場,105
A-1,共同住宅,屋内廊下,513
A-2,共同住宅,ロビー,1026
A-3,共同住宅,管理人室,369
A-4,共同住宅,集会室,113
A-5,共同住宅,屋外廊下,256
A-6,共同住宅,屋内駐車場,308
A-7,共同住宅,機械室,10
A-8,共同住宅,電気室,10
A-9,共同住宅,廃棄物保管場所等,308
