キー,建物用途,室用途,基準,洗面,シャワー,台所,その他,単位,密度
M-5,集会所等,公式競技用スケート場,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
M-6,集会所等,公式競技用体育館,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
M-7,集会所等,一般競技用スケート場,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
M-8,集会所等,一般競技用体育館,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
M-9,集会所等,レクリエーション用スケート場,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
M-10,集会所等,レクリエーション用体育館,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
M-11,集会所等,競技場の客席,3.8,3.8,0.0,0.0,0.0,L/人日,0.4
M-12,集会所等,競技場のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
M-15,集会所等,公衆浴場の浴室,300.0,0.0,62.0,0.0,238.0,L/人日,0.2
M-16,集会所等,公衆浴場の脱衣所,300.0,0.0,62.0,0.0,238.0,L/人日,0.2
M-17,集会所等,公衆浴場の休憩室,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
M-18,集会所等,公衆浴場のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
M-21,集会所等,映画館の客席,3.8,3.8,0.0,0.0,0.0,L/人日,1.0
M-22,集会所等,映画館のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
M-25,集会所等,図書館の図書室,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
M-26,集会所等,図書館のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
M-29,集会所等,博物館の展示室,3.8,3.8,0.0,0.0,0.0,L/人日,0.03
M-30,集会所等,博物館のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
M-33,集会所等,劇場の楽屋,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
M-34,集会所等,劇場の舞台,3.8,3.8,0.0,0.0,0.0,L/人日,1.0
M-35,集会所等,劇場の客席,3.8,3.8,0.0,0.0,0.0,L/人日,1.0
M-36,集会所等,劇場のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
M-39,集会所等,カラオケボックス,3.8,3.8,0.0,0.0,0.0,L/人日,0.4
M-41,集会所等,ボーリング場,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
M-42,集会所等,ぱちんこ屋,3.8,3.8,0.0,0.0,0.0,L/人日,0.5
M-43,集会所等,競馬場又は競輪場の客席,3.8,3.8,0.0,0.0,0.0,L/人日,0.4
M-46,集会所等,競馬場又は競輪場のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
M-49,集会所等,社寺の本殿,3.8,3.8,0.0,0.0,0.0,L/人日,1.0
M-50,集会所等,社寺のロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
A-3,共同住宅,管理人室,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
A-4,共同住宅,集会室,1.5,0.0,0.0,1.5,0.0,L/m2日,0.25
